=== GNatives Table Dump ===
Table address: 0x10a872bc
Module base: 0xfb60000
  Native[ 492] = 0x00000001 (+0xF04A0001)
  Native[ 495] = 0x107C46B4 (+0xC646B4)
  Native[ 496] = 0x10D845B4 (+0x12245B4)
  Native[ 498] = 0x00001914 (+0xF04A1914)
  Native[ 501] = 0x107B1480 (+0xC51480)
  Native[ 504] = 0x00000007 (+0xF04A0007)
  Native[ 507] = 0x107B2FC4 (+0xC52FC4)
  Native[ 510] = 0x00000011 (+0xF04A0011)
  Native[ 513] = 0x107C0990 (+0xC60990)
  Native[ 516] = 0x0000001C (+0xF04A001C)
  Native[ 519] = 0x1078B54C (+0xC2B54C)
  Native[ 520] = 0x10D85964 (+0x1225964)
  Native[ 522] = 0x00000019 (+0xF04A0019)
  Native[ 525] = 0x107B3034 (+0xC53034)
  Native[ 528] = 0x0000051A (+0xF04A051A)
  Native[ 531] = 0x107B1208 (+0xC51208)
  Native[ 532] = 0x10D84554 (+0x1224554)
  Native[ 534] = 0x0000141A (+0xF04A141A)
  Native[ 537] = 0x1078E5B0 (+0xC2E5B0)
  Native[ 538] = 0x10D85364 (+0x1225364)
  Native[ 540] = 0x00000019 (+0xF04A0019)
  Native[ 543] = 0x107816F0 (+0xC216F0)
  Native[ 546] = 0x00000C16 (+0xF04A0C16)
  Native[ 549] = 0x1078E5B8 (+0xC2E5B8)
  Native[ 552] = 0x00000716 (+0xF04A0716)
  Native[ 555] = 0x1078E5C4 (+0xC2E5C4)
  Native[ 558] = 0x00001613 (+0xF04A1613)
  Native[ 561] = 0x1078DFCC (+0xC2DFCC)
  Native[ 562] = 0x10D85544 (+0x1225544)
  Native[ 564] = 0x00001416 (+0xF04A1416)
  Native[ 567] = 0x10786624 (+0xC26624)
  Native[ 570] = 0x0000001D (+0xF04A001D)
  Native[ 573] = 0x10786630 (+0xC26630)
  Native[ 576] = 0x0000001D (+0xF04A001D)
  Native[ 579] = 0x10786638 (+0xC26638)
  Native[ 582] = 0x0000000B (+0xF04A000B)
  Native[ 585] = 0x10786650 (+0xC26650)
  Native[ 586] = 0x10D84254 (+0x1224254)
  Native[ 588] = 0x00001914 (+0xF04A1914)
  Native[ 591] = 0x1078666C (+0xC2666C)
  Native[ 592] = 0x10D841F4 (+0x12241F4)
  Native[ 594] = 0x0000141A (+0xF04A141A)
  Native[ 597] = 0x10786674 (+0xC26674)
  Native[ 598] = 0x10D84284 (+0x1224284)
  Native[ 600] = 0x0000141A (+0xF04A141A)
  Native[ 603] = 0x1078667C (+0xC2667C)
  Native[ 604] = 0x10D843A4 (+0x12243A4)
  Native[ 606] = 0x0000141A (+0xF04A141A)
  Native[ 609] = 0x10786684 (+0xC26684)
  Native[ 610] = 0x10D842E4 (+0x12242E4)
  Native[ 612] = 0x0000141A (+0xF04A141A)
  Native[ 615] = 0x10786690 (+0xC26690)
  Native[ 616] = 0x10D84344 (+0x1224344)
  Native[ 618] = 0x0000141A (+0xF04A141A)
  Native[ 621] = 0x107866A0 (+0xC266A0)
  Native[ 622] = 0x10D84314 (+0x1224314)
  Native[ 624] = 0x0000141A (+0xF04A141A)
  Native[ 627] = 0x107866B4 (+0xC266B4)
  Native[ 628] = 0x10D84614 (+0x1224614)
  Native[ 630] = 0x0000141A (+0xF04A141A)
  Native[ 633] = 0x10789F30 (+0xC29F30)
  Native[ 634] = 0x10D85334 (+0x1225334)
  Native[ 636] = 0x00001914 (+0xF04A1914)
  Native[ 639] = 0x10789BB8 (+0xC29BB8)
  Native[ 642] = 0x0000000B (+0xF04A000B)
  Native[ 645] = 0x10789BBC (+0xC29BBC)
  Native[ 648] = 0x0000000B (+0xF04A000B)
  Native[ 651] = 0x1078B334 (+0xC2B334)
  Native[ 652] = 0x10D85B14 (+0x1225B14)
  Native[ 654] = 0x00001914 (+0xF04A1914)
  Native[ 657] = 0x1078B2B8 (+0xC2B2B8)
  Native[ 660] = 0x00001413 (+0xF04A1413)
  Native[ 663] = 0x10782F98 (+0xC22F98)
  Native[ 664] = 0x10D852A4 (+0x12252A4)
  Native[ 666] = 0x00000019 (+0xF04A0019)
  Native[ 669] = 0x107B5850 (+0xC55850)
  Native[ 670] = 0x10D859F4 (+0x12259F4)
  Native[ 672] = 0x00001914 (+0xF04A1914)
  Native[ 675] = 0x1078B27C (+0xC2B27C)
  Native[ 678] = 0x00001613 (+0xF04A1613)
  Native[ 681] = 0x1078B290 (+0xC2B290)
  Native[ 684] = 0x00001613 (+0xF04A1613)
  Native[ 687] = 0x1078B2A4 (+0xC2B2A4)
  Native[ 690] = 0x00000416 (+0xF04A0416)
  Native[ 693] = 0x1078B250 (+0xC2B250)
  Native[ 696] = 0x00000006 (+0xF04A0006)
  Native[ 699] = 0x107C2ABC (+0xC62ABC)
  Native[ 702] = 0x00000006 (+0xF04A0006)
  Native[ 705] = 0x1078B2CC (+0xC2B2CC)
  Native[ 708] = 0x00000003 (+0xF04A0003)
  Native[ 711] = 0x107C3574 (+0xC63574)
  Native[ 714] = 0x00000001 (+0xF04A0001)
  Native[ 717] = 0x107C357C (+0xC6357C)
  Native[ 720] = 0x00000001 (+0xF04A0001)
  Native[ 723] = 0x107C3590 (+0xC63590)
  Native[ 726] = 0x00000001 (+0xF04A0001)
  Native[ 729] = 0x107C35A4 (+0xC635A4)
  Native[ 732] = 0x00001613 (+0xF04A1613)
  Native[ 735] = 0x1078B180 (+0xC2B180)
  Native[ 738] = 0x00001613 (+0xF04A1613)
  Native[ 741] = 0x1078B194 (+0xC2B194)
  Native[ 744] = 0x00001613 (+0xF04A1613)
  Native[ 747] = 0x1078B350 (+0xC2B350)
  Native[ 750] = 0x00001613 (+0xF04A1613)
  Native[ 753] = 0x10786768 (+0xC26768)
  Native[ 754] = 0x10D843A4 (+0x12243A4)
  Native[ 756] = 0x00001914 (+0xF04A1914)
  Native[ 759] = 0x107B0888 (+0xC50888)
  Native[ 760] = 0x10D84254 (+0x1224254)
  Native[ 762] = 0x0000141A (+0xF04A141A)
  Native[ 765] = 0x1078677C (+0xC2677C)
  Native[ 768] = 0x0000111A (+0xF04A111A)
  Native[ 771] = 0x10786788 (+0xC26788)
  Native[ 774] = 0x00000011 (+0xF04A0011)
  Native[ 777] = 0x10790D78 (+0xC30D78)
  Native[ 780] = 0x00020007 (+0xF04C0007)
  Native[ 783] = 0x10790D80 (+0xC30D80)
  Native[ 786] = 0x00000007 (+0xF04A0007)
  Native[ 789] = 0x10790D88 (+0xC30D88)
  Native[ 792] = 0x00000007 (+0xF04A0007)
  Native[ 795] = 0x10790D94 (+0xC30D94)
  Native[ 798] = 0x00040004 (+0xF04E0004)
  Native[ 801] = 0x10790DA0 (+0xC30DA0)
  Native[ 804] = 0x00000007 (+0xF04A0007)
  Native[ 807] = 0x10790DAC (+0xC30DAC)
  Native[ 810] = 0x00000007 (+0xF04A0007)
  Native[ 813] = 0x107C35B8 (+0xC635B8)
  Native[ 816] = 0x00000007 (+0xF04A0007)
  Native[ 819] = 0x107C35D0 (+0xC635D0)
  Native[ 822] = 0x00000007 (+0xF04A0007)
  Native[ 825] = 0x107C35EC (+0xC635EC)
  Native[ 828] = 0x00000007 (+0xF04A0007)
  Native[ 831] = 0x1078E1C0 (+0xC2E1C0)
  Native[ 834] = 0x00060007 (+0xF0500007)
  Native[ 837] = 0x10790F30 (+0xC30F30)
  Native[ 840] = 0x00130002 (+0xF05D0002)
  Native[ 843] = 0x10790F3C (+0xC30F3C)
  Native[ 846] = 0x00000002 (+0xF04A0002)
  Native[ 849] = 0x10790F48 (+0xC30F48)
  Native[ 852] = 0x00000007 (+0xF04A0007)
  Native[ 855] = 0x10790F5C (+0xC30F5C)
  Native[ 858] = 0x00000007 (+0xF04A0007)
  Native[ 861] = 0x10790F70 (+0xC30F70)
  Native[ 864] = 0x00000007 (+0xF04A0007)
  Native[ 867] = 0x10790F84 (+0xC30F84)
  Native[ 870] = 0x00000007 (+0xF04A0007)
  Native[ 873] = 0x107C3F9C (+0xC63F9C)
  Native[ 876] = 0x00000007 (+0xF04A0007)
  Native[ 879] = 0x10790FB8 (+0xC30FB8)
  Native[ 882] = 0x00000007 (+0xF04A0007)
  Native[ 885] = 0x107C3FB4 (+0xC63FB4)
  Native[ 888] = 0x00000007 (+0xF04A0007)
  Native[ 891] = 0x107C3628 (+0xC63628)
  Native[ 892] = 0x107C3FBC (+0xC63FBC)
  Native[ 895] = 0x0000000C (+0xF04A000C)
  Native[ 898] = 0x107C3FC8 (+0xC63FC8)
  Native[ 901] = 0x0000000D (+0xF04A000D)
  Native[ 904] = 0x107805A0 (+0xC205A0)
  Native[ 907] = 0x0000001D (+0xF04A001D)
  Native[ 910] = 0x10790AE4 (+0xC30AE4)
  Native[ 913] = 0x0000001C (+0xF04A001C)
  Native[ 916] = 0x107C3694 (+0xC63694)
  Native[ 917] = 0x107C3FD4 (+0xC63FD4)
  Native[ 918] = 0x10D85AB4 (+0x1225AB4)
  Native[ 920] = 0x00000019 (+0xF04A0019)
  Native[ 923] = 0x107C3FE8 (+0xC63FE8)
  Native[ 924] = 0x10D85AB4 (+0x1225AB4)
  Native[ 926] = 0x00000019 (+0xF04A0019)
  Native[ 929] = 0x107C3FFC (+0xC63FFC)
  Native[ 932] = 0x0000000B (+0xF04A000B)
  Native[ 935] = 0x107C4008 (+0xC64008)
  Native[ 938] = 0x0000000B (+0xF04A000B)
  Native[ 941] = 0x107C4024 (+0xC64024)
  Native[ 944] = 0x0000000B (+0xF04A000B)
  Native[ 947] = 0x107C4040 (+0xC64040)
  Native[ 950] = 0x0000000B (+0xF04A000B)
  Native[ 953] = 0x107C405C (+0xC6405C)
  Native[ 956] = 0x0000000B (+0xF04A000B)
  Native[ 959] = 0x10790C18 (+0xC30C18)
  Native[ 960] = 0x10D846A4 (+0x12246A4)
  Native[ 962] = 0x0000191A (+0xF04A191A)
  Native[ 965] = 0x1079597C (+0xC3597C)
  Native[ 966] = 0x10D84914 (+0x1224914)
  Native[ 968] = 0x00001914 (+0xF04A1914)
  Native[ 971] = 0x107972C8 (+0xC372C8)
  Native[ 974] = 0x00000008 (+0xF04A0008)
  Native[ 977] = 0x1078B334 (+0xC2B334)
  Native[ 980] = 0x00001413 (+0xF04A1413)
  Native[ 983] = 0x10780CC8 (+0xC20CC8)
  Native[ 984] = 0x10D84704 (+0x1224704)
  Native[ 986] = 0x00001914 (+0xF04A1914)
